mu 1.0000000000
16.2000000000 -1.3661525514 -2.3241164777
16.3000000000 -1.5795589645 -1.9261277927
16.4000000000 -1.7490543382 -1.4588873797
16.5000000000 -1.8715939174 -0.9982628438
16.6000000000 -1.9507296081 -0.5968790266
16.7000000000 -1.9936610577 -0.2753532343
16.8000000000 -2.0083752142 -0.0308602942
16.9000000000 -2.0019366485 0.1503487474
17.0000000000 -1.9798751514 0.2841616260
17.1000000000 -1.9462110954 0.3844825503
17.2000000000 -1.9037280403 0.4620985991
17.3000000000 -1.8542798826 0.5249045577
17.4000000000 -1.7990493263 0.5785440481
17.5000000000 -1.7387398888 0.6270574805
17.6000000000 -1.6737087589 0.6734079780
17.7000000000 -1.6040538880 0.7198732606
17.8000000000 -1.5296675622 0.7683293801
17.9000000000 -1.4502657038 0.8204574408
18.0000000000 -1.3653992330 0.8778994026
18.1000000000 -1.2744515994 0.9423813841
18.2000000000 -1.1766251343 1.0158149850
18.3000000000 -1.0709182776 1.1003777992
18.4000000000 -0.9560962073 1.1985613547
18.5000000000 -0.8306595853 1.3131526671
18.6000000000 -0.6928212314 1.4470775884
18.7000000000 -0.5405107034 1.6029692413
18.8000000000 -0.3714450801 1.7822265011
18.9000000000 -0.1833335800 1.9832133315
19.0000000000 0.0256785281 2.1982252778
19.1000000000 0.2561972139 2.4092258316
19.2000000000 0.5063261370 2.5837169728
19.3000000000 0.7701635374 2.6748156455
19.4000000000 1.0367843617 2.6318613710
19.5000000000 1.2909533670 2.4238133174
19.6000000000 1.5163851218 2.0634387038
19.7000000000 1.7004859614 1.6094908815
19.8000000000 1.8377748189 1.1395630461
19.9000000000 1.9299840358 0.7157299302
20.0000000000 1.9835065951 0.3683673761
20.1000000000 2.0063266035 0.1006724737
20.2000000000 2.0059110089 -0.0988379695
20.3000000000 1.9882938258 -0.2460172334
20.4000000000 1.9579498725 -0.3556242812
20.5000000000 1.9180202163 -0.4394485025
20.6000000000 1.8706221162 -0.5062391101
20.7000000000 1.8171269007 -0.5622785159
20.8000000000 1.7583728894 -0.6120512300
20.9000000000 1.6948156056 -0.6588130671
21.0000000000 1.6266279137 -0.7050235528
21.1000000000 1.5537630553 -0.7526604517
21.2000000000 1.4759908246 -0.8034477148
21.3000000000 1.3929140751 -0.8590250545
21.4000000000 1.3039702922 -0.9210799896
21.5000000000 1.2084212538 -0.9914555344
21.6000000000 1.1053329215 -1.0722378376
21.7000000000 0.9935477976 -1.1658168031
21.8000000000 0.8716535245 -1.2748942110
21.9000000000 0.7379554986 -1.4023819182
22.0000000000 0.5904695350 -1.5510774924
22.1000000000 0.4269659838 -1.7229168925
22.2000000000 0.2451223901 -1.9174892061
22.3000000000 0.0428779702 -2.1294246587
22.4000000000 -0.1808838307 -2.3444648339
